id,text,bank,rating
463947,"Доставку карт не дождаться К работе банка претензий нет. Вопрос к курьерам банка которые отменяют доставки день в день по непонятным причинам. И это при том, что доставка не куда-то за город в лесах сибири. Огромный жирный минус за доставку",tinkoff-bank,1
462502,"% по рефинансированию. Взял деньги для рефинансирования текущих кредитов. Заявку подавал под 9,7 по итогу ставка 10 с копейками. Впаяли страховку 91тр, списали сразу, ибо в случае отказа от страхования % ставка сразу поднимается на 7 пунктов, и составит 17,6 . Почти неделю мурыжили с окончательным ответом, то им выписку сделай ( отправлял 5 раз) то смс  об активации 4 дня шло, то специалист перезванивает по 2-3 дня, в итоге подходило время внесения денег по текущим кредитам и опять переплата % . Курьер толком ничего объяснить по продукту не может ссылаясь на то, что он только КУРЬЕР. В бщем по сути вы берете обычный кредит с обычной ставкой, ни о каких пониженных там речь не идёт, ну и плюс хочешь не хочешь страховочку навяжут.",rajffajzenbank,1
464129,"Шарашкин банк Самый тупой банк что я видел ! Дали карту платинум . Представитель банка заверила ,карту активируем до 12 часов следующего дня . И вот уже прошло пол года ,так ни чего и не активировали ,обратился в банк ,где мне говорят ,ага видим карту ваше , завтра активируем . И опять не активировали . Не могу понять зачем тогда мне ее привезли?! И самый смешной момент ,выдали карту и через пару дней звонят и предлагают мне снова карту на что я спрашиваю , вы але или не але?! Вы мне выслали карту ! На что ,как ?! Кто когда ? Через минуту они говорят ,ой да точно ,извините .",tinkoff-bank,0
528771,"Быстрая работа тех.поддержки, множество достойных функций, кэшбэк! Пользуюсь данным банком меньше года, уже доволен их работой. Быстрый ответ от сотрудников банка, много действительно нужных опций, особенно «снятие наличных».Полностью рад, что стал клиентом Тинькофф. Успехов вам",tinkoff-bank,2
477654,"Куда ушли деньги Произошло странное списание денежных средств с карты, причем на сумму превышающую той суммы которая была на карте. В результате мой счёт ушёл в минуса. Про само отчисление нет ни какой расшифровки, куда, кому эти деньги ушли, только ""изменение баланса код операции 15003741234 - что это и куда же ушли деньги?",gazprombank,1
528468,"Отзыв Менеджер Яна Tinkoff Premium. Здравствуйте, возникла проблема с подпиской, персональный менеджер Яна (внутренний номер 6904178) помогла во всем разобраться. Быстрые и корректные ответы на мои запросы. В общем, хотел бы выделить работу данного менеджера. Мне очень все понравилось. Из 5 я бы поставил 10 звёзд 🙂",tinkoff-bank,2
522468,"3 звезды это норм Норм карта, жаль банк урезал все толковые бонусы и убрал разные плюшки. Вот раньше кешбэк был что надо.",sovkombank,1
487058,"некомпетентность, обман, введение в заблуждение, скрытые платные услуги Решил закрыть кредитную карту в Юникредит банке. Лимит 300 000, пополнил карту до 300 000. позвонил на горячую линию. мне сказали, что у меня накопились % на 13000 и еще ""страховка"" на 36000. Я спросил - откуда страховка на 36000? Мне сказали - приезжайте в отделение банка, там вам все объяснят. Приехал в отделение банка на Ленинградский проспект 44, Москва. Там сотрудник сказал, что у меня еще есть непогашенные долги за прошлые годы!!! и насчитал мне еще 19000. В результате, я внес в кассу вчера 61000 р. и начал спрашивать, почему мне насчитали столько денег, дадут ли мне справку о закрытии карты, отключат ли платные услуги и тд. Ни на один вопрос вразумительных ответов не получил. Тогда я стал просить позвать руководителя отделения, чтобы мне объяснили, что происходит. подошел другой сотрудник и сказал, что я переплатил 23000, но вернуть они их не смогут, а сделают так, что переплата окажется завтра на моем текущем счете, откуда я ее переведу  через сбп на другую карту без %. На следующий день переплата осталась на моем счете карты. я написал в чат Юникредита, где мне говорят, что я им еще 4800 остался должен... История продолжается",junikredit-bank,0
515483,Вклад оптимальный Были моменты не столь корректных расчетов от операторов. Но вроде бы помог разобраться им же и стало все более менее понятно,sovkombank,1
513630,"Карта халва Удобно, когда нет собственных средств, карта халва выручает. Партнёры доступны. Но виснет приложение, Где-то не проходит как партнёр. Где-то глючит не засчитывают бонусы. И тратишь время на разборки, в ситуации",sovkombank,1
